id,trends
Dec 06 11:53,"[""#BuenViernes"",""#DiscoRajaTeaser"",""#Encounter"",""#FloryadaVurgunVar"",""#FridayFeeling"",""#HayırlıCumalar"",""#JanganNgeluhTerus"",""#MaskerHologramFree"",""#MensVolleyball"",""#NadineAtAACAGalaFinal"",""#NainaLade"",""#Nikolaus"",""#Nutella"",""#Obsession1stWin"",""#PALLOM"",""#PakHalimCegahStunting"",""#QueElSalarioSuba"",""#SBWL"",""#SPDbpt19"",""#SUGAsInterlude"",""#Ss8inJakarta"",""#TelanganaPolice"",""#TubanSejahteraMilikBersama"",""#diadelaconstitucion"",""#itsenäisyyspäivä"",""#iyikidoğdunceren"",""#potm"",""#soundman"",""#اكاديميات_الثانويه_العامه"",""#الشعب_القطري"",""#شيله_ساعه_مرورك"",""#فزعتكم_ياقبايل_المملكه"",""#والدته_تناشدكم_مساعده_ابنها"",""#يوم_الجمعه"",""#สมองเหงาLonelyBrain"",""#ものまね王座決定戦"",""#ゲーム業界入って最初の仕事"",""#ドスパラ"",""#ロジクール"",""#低確率イヌヌワンチャレンジ"",""#警察特捜2019"",""#金スマ"",""#지녕이가_왔다_오바"",""Eda Babuna"",""Mike Sonko"",""Sowore"",""Stage 4"",""uiui先輩"",""キバットベルト"",""覚醒武器""]"
Dec 06 15:30,"[""#6DElParoSigue"",""#6Dic"",""#AdoreYou"",""#BroadwayinHawaii"",""#BuenViernes"",""#EneramaCevreTeknolojileri"",""#EpicRespectMonstaX7"",""#FloryadaVurgunVar"",""#FridayFeeling"",""#HOUSE_OF_BTS_in_CDMX"",""#HyderabadEncounter"",""#INDvsWI"",""#JanganNgeluhTerus"",""#JobsReport"",""#KehfEhli"",""#LaMarchaMasGrandeDeTodas"",""#MontrealMassacre"",""#NadineAtAACAGalaFinal"",""#NoAIudicaEnRiver"",""#Obsession1stWin"",""#PSLDraft"",""#Sexyすごろく"",""#TangkapPenghinaRasulullah"",""#TarihFloryadaYazılır"",""#TheKillerBrideTrueVida"",""#YUHsanaFOX"",""#igot7selcaday"",""#pttkargo"",""#sextou"",""#الاهلي_النجوم"",""#النصر_البكيريه"",""#ساعه_استجابه"",""#يوم_الجمعه"",""#เขาวานให้หนูเป็นสายลับep13"",""#ものまね王座決定戦"",""#ロジクール"",""#好きなパンを呟いてTLをパン屋にする"",""#探偵ナイトスクープ"",""#時効警察はじめました"",""#羽生結弦誕生祭2019"",""#소중한_소정아_생일축하해"",""#시우민_일년남았슈"",""#에비뉴인생_개이득_에이비식스"",""#한결같이_빛나는_한결아_생일축하해"",""Pensacola"",""SAVE ANNE"",""Sowore"",""アマテラス"",""シャックス"",""ホームアローン""]"
Dec 06 07:48,"[""#AdoreYou"",""#AllAboutLuvForWonho"",""#AnxietyFeelsLike"",""#BabaSahebAmbedkar"",""#BadVibesForever"",""#BillieEilishisoverparty"",""#ChristmasTreeFarm"",""#DeathForRapists"",""#Encounter"",""#FPIPublicEnemy"",""#GarudaDukungErick"",""#HayırlıCumalar"",""#LiamPayne"",""#MaskerHologramFree"",""#PALLOM"",""#POPTOPIA"",""#PakHalimCegahStunting"",""#Romance"",""#SUGAsInterlude"",""#TelanganaPolice"",""#Unutmayacağız"",""#WeLoveYouJaebeom"",""#günAydınlabaşlar"",""#justiceforpriyanakareddy"",""#soundman"",""#الشعب_القطري"",""#يوم_الجمعه"",""#ゲーム業界入って最初の仕事"",""#低確率イヌヌワンチャレンジ"",""#지녕이가_왔다_오바"",""Cowboys"",""Hocam Hoşgeldiniz"",""Jerry Jones"",""Maher"",""Mike Sonko"",""Mitch"",""Nikolaustag"",""Nirbhaya"",""Roddy Ricch"",""SHOCK全滅"",""UygunFiyatlı TTVerilir"",""हैदराबाद पुलिस""]"
Dec 07 22:46,"[""#370MilyonNerede"",""#7DEstoRecienEmpieza"",""#AJRuiz2"",""#Amakhosi4Life"",""#AmericaDeCali"",""#AndTheNew"",""#AnittaMadeInHonorio"",""#Anymal"",""#BTS_Hitmakers"",""#BarcaMallorca"",""#BoomerSooner"",""#ClashOnTheDunes"",""#CombateSPACE"",""#ESPNKnockOut"",""#LAFINALxWIN"",""#LSUvsUGA"",""#LaLigaxRCN"",""#LazioJuve"",""#MCIMUN"",""#ManchesterDerby"",""#RuizJoshua2"",""#SECChampionship"",""#UGAvsLSU"",""#discorddown"",""#insiders"",""#kopspijkers"",""#برشلونه_مايوركا"",""#محمد_بن_سلمان_في_الدرعيه"",""#وزير_التعليم"",""#ياشينها_لا_صار"",""BRING ANNE HOME"",""Brother Nature"",""Congratulations AJ"",""Cuadrado"",""Fromm"",""Fury"",""Gary Danielson"",""Joe Burrow"",""Man City"",""Muslera"",""Suarez"",""Sweet Caroline"",""Wan Bissaka""]"
Dec 08 03:24,"[""#ACCFCG"",""#AChristmasLoveStory"",""#AltasHoras"",""#AnittaMadeInHonorio"",""#B1GFCG"",""#BTS_Hitmakers"",""#BakeOffBrasil"",""#BigTenChampionship"",""#CFPlayoff"",""#ChauMacriNoVolvesMas"",""#ClipesDaDecada"",""#ImSoHappyIGrewUp"",""#LSUvsUGA"",""#LaDivinaComida"",""#MonstaXatJingleBash"",""#MostRequestedLive"",""#OSUvsWISC"",""#PasDésoléPourCeSoir"",""#RuizJoshua2"",""#SpongeBobMusicalLive"",""#StevenUniverseFuture"",""#Svengoolie"",""#UFCDC"",""#VtL両国"",""#iWantAnibersayaWithMayWard"",""#minggupagi"",""#nitiasa"",""#velitas"",""#ゲゲゲの鬼太郎"",""#ワイドナショー"",""#人生で最も縁の無い二文字"",""#仮面ライダーゼロワン"",""#衝撃を受けたBUMPの歌詞"",""Alcione"",""Badgers"",""Buckeyes"",""Dr. Pepper"",""Fields"",""GRACIAS JOACO"",""Gus Johnson"",""Jack Coan"",""Joe Burrow"",""Jonathan Taylor"",""Julius Randle"",""Ohio State"",""Tee Higgins"",""Wisconsin"",""ジャニ"",""不破さん"",""設営完了""]"
Dec 05 17:49,"[""#5Dic"",""#AmericansForImpeachment"",""#AppleMusicReplay"",""#ChristmasTreeFarm"",""#Dotard"",""#EnTiemposDeSpotify"",""#FelizJueves"",""#Flames1stGoal"",""#IAmWithSidShukla"",""#InternationalVolunteerDay"",""#JollyJohn"",""#KarenMentirosa"",""#LaBajada"",""#Meb60BinÖgrtAta"",""#MyDaySelcaDay"",""#PitMad"",""#SailToEroda"",""#SilivriCezaevindeDARP"",""#StickWithMX7"",""#TasarrufBaşkenttenBaşlar"",""#ThursdayThoughts"",""#TrumpIsALaughingStock"",""#UnaLeyQueSeLlame"",""#XannyMusicVideo"",""#YüksekÖğretimTazminatı"",""#cerenoezdemiricinadalet"",""#dontmesswithme"",""#ilginçtepki"",""#istanbul112yeniyaşı25"",""#malamjumat"",""#pp_anime"",""#sorumluyasoruyorum"",""#spotifywrapped2019"",""#vibratöröpmek"",""#البحرين_العراق"",""#السعوديه_قطر_خليجي24"",""#عزوز_وسعدون_في_البيت_الاول"",""#كوبون_نون_can88"",""#ゼロキス公開"",""#好きな漫画10個あげると人柄がバレる"",""As a Catholic"",""Bunitinho"",""Evil Corp"",""Madam Speaker"",""Marisnick"",""Mulan"",""Nancy Pelosi"",""Nefes AlabilirMiyiz"",""Sinclair"",""Supercopa""]"
Dec 10 03:50,"[""#100diasparaenamorarse"",""#AgendaAntiabusos"",""#BelowDeck"",""#BlackLightning"",""#ElNumeroDeElPizzas"",""#EliminaçãoAFazenda"",""#FairnessForWonho"",""#FunaAPiñera"",""#HariCampeã"",""#JENNIExGentleMonster"",""#JTBC_사과해"",""#Kukapalooza"",""#LHHReunion"",""#OCloneNoVIVA"",""#SCCL2020"",""#STRAYKIDS_ASC"",""#SeVanLosChetosChorros"",""#SelasaSambat"",""#TheVoice"",""#TuesdayMotivation"",""#Volvimos"",""#WhyIGotALumpOfCoal"",""#arirang_ASC"",""#mepoupenaband"",""#mondaynightfootball"",""#sydneysmoke"",""#限界大学生お嬢様"",""Alshon"",""Bjelica"",""Booger"",""Boston Scott"",""Bradesco"",""Darius Slayton"",""Derrick Rose"",""Doug Pederson"",""Eagles"",""Eli Manning"",""Eminem"",""Ertz"",""FACH"",""Giants"",""Havan"",""Kabuki Warriors"",""Lane Johnson"",""MLB The Show"",""Nick Cannon"",""Ronald Darby"",""Street Profits"",""Wentz"",""グレイセス10周年""]"
Dec 09 06:50,"[""#90DayFiance"",""#CitizenshipAmendmentBill2019"",""#CrisisOnInfiniteEarths"",""#HTISumberRadikalisme"",""#HalkımızBilsin"",""#HappyBirthdaySoniaGandhi"",""#HowToTreatMeIn5Words"",""#KarnatakaBypolls"",""#KenyaUnderRuto"",""#LaAcademiaSiempre"",""#LaCopaEterna"",""#MissUniverse2019"",""#MondayMotivaton"",""#RHOA"",""#SB19KCCLastStop"",""#SEAvsLAR"",""#SiliconValleyHBO"",""#TentangHariIni"",""#Terremoto"",""#VekilimeMesajım"",""#VoteAgainstCAB"",""#WatchmenHBO"",""#WeGotYouWonho"",""#h3h3isoverparty"",""#jesseruthergod"",""#pazartesi"",""#اليوم_بشوف_صالح"",""#ذكريات_اول_ليله_زواج"",""#مشاعرك_الان_بكلمه"",""#น้องเจ้าบ่าวหล่อบอกต่อด้วย"",""#つぶやきから年齢性別を予想"",""#サンタさん来てよ"",""#廃課金お嬢様"",""#限界同人お嬢様"",""Clearing The Air"",""Madison"",""Rams"",""San Lorenzo"",""Silvio Santos"",""Spin-off"",""Steve Harvey"",""Sudáfrica"",""UygunFiyatda TTVerilir"",""White Island"",""業務ハック"",""서가대""]"
Dec 07 10:28,"[""#7dicembre"",""#AyaNakamura"",""#A組ヒーロー活動中"",""#B2SxTharnType"",""#BetiKoNyayDo"",""#CPFranksterPartyxBamBam"",""#DAY6GRAVITYinBKK"",""#DepressionFeelsLike"",""#EdwardAtOpenAirCinemaOne"",""#FelizSabado"",""#FreeSoworeAlready"",""#GeldiğinZaman"",""#MCIMUN"",""#MUSICFAIR"",""#ManchesterDerby"",""#MissionCadeauxFnac"",""#Obsession2ndWin"",""#PAKvSL"",""#SB19atGuerillaKNight"",""#STILL622"",""#SYDvBRI"",""#SaturdayThoughts"",""#TheFaceMenThailand3"",""#YüzdeYüzŞampiyon"",""#cumartesi"",""#joqr"",""#katyperryisoverparty"",""#kimimachi"",""#malamminggu"",""#målminutt"",""#unnaokibeti"",""#ايه_منعك_تتجوز"",""#ساره_دندراوي"",""#يكملون_بعض"",""#あなたの光と闇を数値化"",""#あなたを幸せにしているものベスト3"",""#キスマイANNP"",""#ヒロアカMVP"",""#報道特集"",""#好きなゲーム10個あげると人柄がバレる"",""#衝撃を受けた特撮・アニソンの歌詞"",""Cardi B"",""Evan Dimas"",""アズリム"",""ガチャピン"",""コードブルー"",""サンイーター"",""ブラホワ"",""マリノス"",""현진아""]"
Dec 04 23:01,"[""#AllTogetherNow"",""#AskCamila"",""#BurgerQuiz"",""#BushraMuhajjab"",""#CHEAVL"",""#EmreyeNasılKıydınız"",""#GGMU"",""#GSvTZL"",""#ImpeachmentHearing"",""#JoiceTraidora"",""#LIVEVE"",""#LOS40LaRadioDeLosExitos"",""#LaVozKidsSemifinal"",""#MDLBeast"",""#MUNTOT"",""#NationalCookieDay"",""#PSGFCN"",""#RapLikeFaithNketsi"",""#SEXONHITS1"",""#TheApprentice"",""#Tropchiantlestiragesausort"",""#VerifyAvalanche"",""#WelcomeToArgentinaShawn"",""#chilhavisto"",""#fatihterimistifa"",""#lastesissenior"",""#السعوديه_تجنس_المبدعين"",""#ليفربول_ايفرتون"",""#ムカつく電車の行き先選手権"",""Ally McCoist"",""Aurier"",""Barron"",""Cavani"",""Dele Alli"",""George Zimmerman"",""Holgate"",""Karlan"",""Lottie"",""Marco Silva"",""Matt Gaetz"",""McTominay"",""Mets"",""Miss Americana"",""Origi"",""Pichetto"",""Pickford"",""Sadio Mane"",""Shaqiri"",""Sundance"",""Wheeler""]"
